All accuracies:

File                                    Accuracy  

pred_arabic_12500_exp6_res86.txt        92.20     
pred_arabic_12500_exp6_res12.txt        91.70     
pred_arabic_12500_exp6_res9.txt         91.50     
pred_arabic_12500_exp6_res19.txt        91.90     
pred_arabic_12500_exp6_res48.txt        93.10     
pred_arabic_12500_exp6_res36.txt        93.20     
pred_arabic_12500_exp6_res96.txt        91.10     
pred_arabic_12500_exp6_res100.txt       92.80     
pred_arabic_12500_exp6_res41.txt        92.10     
pred_arabic_12500_exp6_res34.txt        92.40     
pred_arabic_12500_exp6_res7.txt         93.70     
pred_arabic_12500_exp6_res69.txt        91.00     
pred_arabic_12500_exp6_res73.txt        94.30     
pred_arabic_12500_exp6_res59.txt        92.50     
pred_arabic_12500_exp6_res61.txt        92.00     
pred_arabic_12500_exp6_res72.txt        92.90     
pred_arabic_12500_exp6_res70.txt        92.60     
pred_arabic_12500_exp6_res71.txt        92.30     
pred_arabic_12500_exp6_res16.txt        93.50     
pred_arabic_12500_exp6_res54.txt        92.80     
pred_arabic_12500_exp6_res2.txt         92.40     
pred_arabic_12500_exp6_res42.txt        92.10     
pred_arabic_12500_exp6_res65.txt        92.90     
pred_arabic_12500_exp6_res53.txt        92.20     
pred_arabic_12500_exp6_res94.txt        93.00     
pred_arabic_12500_exp6_res64.txt        92.30     
pred_arabic_12500_exp6_res55.txt        92.30     
pred_arabic_12500_exp6_res26.txt        92.30     
pred_arabic_12500_exp6_res68.txt        92.80     
pred_arabic_12500_exp6_res47.txt        92.30     
pred_arabic_12500_exp6_res21.txt        91.90     
pred_arabic_12500_exp6_res17.txt        92.80     
pred_arabic_12500_exp6_res92.txt        92.70     
pred_arabic_12500_exp6_res77.txt        92.40     
pred_arabic_12500_exp6_res51.txt        92.00     
pred_arabic_12500_exp6_res95.txt        93.20     
pred_arabic_12500_exp6_res79.txt        92.00     
pred_arabic_12500_exp6_res32.txt        92.00     
pred_arabic_12500_exp6_res18.txt        93.30     
pred_arabic_12500_exp6_res27.txt        92.90     
pred_arabic_12500_exp6_res5.txt         92.30     
pred_arabic_12500_exp6_res38.txt        91.70     
pred_arabic_12500_exp6_res39.txt        92.20     
pred_arabic_12500_exp6_res87.txt        92.10     
pred_arabic_12500_exp6_res23.txt        93.10     
pred_arabic_12500_exp6_res33.txt        91.90     
pred_arabic_12500_exp6_res83.txt        92.00     
pred_arabic_12500_exp6_res60.txt        92.30     
arabic_exp6_weighted_voted.txt          95.90     
arabic_exp6_voted.txt                   95.90     
pred_arabic_12500_exp6_res84.txt        91.80     
pred_arabic_12500_exp6_res99.txt        92.10     
pred_arabic_12500_exp6_res67.txt        92.60     
pred_arabic_12500_exp6_res50.txt        93.50     
pred_arabic_12500_exp6_res74.txt        93.40     
pred_arabic_12500_exp6_res89.txt        92.00     
pred_arabic_12500_exp6_res14.txt        93.00     
pred_arabic_12500_exp6_res4.txt         92.40     
pred_arabic_12500_exp6_res25.txt        93.50     
pred_arabic_12500_exp6_res43.txt        91.20     
pred_arabic_12500_exp6_res58.txt        92.90     
pred_arabic_12500_exp6_res3.txt         91.80     
pred_arabic_12500_exp6_res28.txt        91.90     
pred_arabic_12500_exp6_res76.txt        92.10     
pred_arabic_12500_exp6_res90.txt        91.70     
pred_arabic_12500_exp6_res44.txt        93.80     
pred_arabic_12500_exp6_res57.txt        93.50     
pred_arabic_12500_exp6_res85.txt        92.60     
pred_arabic_12500_exp6_res1.txt         92.90     
pred_arabic_12500_exp6_res46.txt        94.30     
pred_arabic_12500_exp6_res56.txt        92.40     
pred_arabic_12500_exp6_res88.txt        92.70     
pred_arabic_12500_exp6_res45.txt        92.40     
pred_arabic_12500_exp6_res30.txt        91.50     
pred_arabic_12500_exp6_res6.txt         91.90     
pred_arabic_12500_exp6_res66.txt        92.50     
pred_arabic_12500_exp6_res82.txt        93.40     
pred_arabic_12500_exp6_res20.txt        93.20     
pred_arabic_12500_exp6_res62.txt        93.80     
pred_arabic_12500_exp6_res13.txt        93.40     
pred_arabic_12500_exp6_res78.txt        93.00     
pred_arabic_12500_exp6_res22.txt        92.60     
pred_arabic_12500_exp6_res97.txt        93.10     
pred_arabic_12500_exp6_res29.txt        92.40     
pred_arabic_12500_exp6_res80.txt        92.40     
pred_arabic_12500_exp6_res35.txt        92.40     
pred_arabic_12500_exp6_res24.txt        93.20     
pred_arabic_12500_exp6_res93.txt        92.00     
pred_arabic_12500_exp6_res11.txt        93.40     
pred_arabic_12500_exp6_res81.txt        93.30     
pred_arabic_12500_exp6_res52.txt        91.10     
pred_arabic_12500_exp6_res40.txt        92.80     
pred_arabic_12500_exp6_res49.txt        93.50     
pred_arabic_12500_exp6_res63.txt        92.10     
pred_arabic_12500_exp6_res8.txt         93.90     
pred_arabic_12500_exp6_res31.txt        92.90     
pred_arabic_12500_exp6_res15.txt        91.10     
pred_arabic_12500_exp6_res91.txt        91.70     
pred_arabic_12500_exp6_res98.txt        91.70     
pred_arabic_12500_exp6_res10.txt        93.80     
pred_arabic_12500_exp6_res75.txt        93.30     
pred_arabic_12500_exp6_res37.txt        93.20     

Average accuracy of s1-s100 models:     92.56                                   
